name,MMSI,IMO,country
MICHIKO,525100679,9282455,Indonesia
SONGRIM HO,440500300,9323601,Korea
NISSHO MARU NO.18,431101028,9078206,Japan
CHOTETANASIN,567002870,9135133,Thailand
TENRYUMARU NO.5,431000715,9517953,Japan
PEGAS,273359960,9078983,Russia
TAIRAMARU,431001045,9553098,Japan
NUSANUR 2,0,9048598,Indonesia
TOEI MARU,431000622,9494979,Japan
SUN BIRDIE,0,9073256,Malaysia
TOUNAN MARU,431001357,9554468,Japan
PHOENIX II,273356770,8603638,Russia
VICTORIA STRIKE,631717053,8810982,Equatorial Guinea
PATROKL,273332710,9012276,Russia
OCEAN PRINCE,631805011,8304012,Equatorial Guinea
ZHONG HE,0,8808006,Belize
ORIENTAL HARVEST,0,9009982,Unknown
ORIENT,273346860,9061617,Russia
YAROMIR,273345530,8921298,Russia
AYAKS,273342510,8708945,Russia
CRYSTAL,273340120,9009841,Russia
ARLY KEN,0,8840145,Unknown
TAI YI,0,9009592,Taiwan
HIRO,0,8911580,Unknown
STO VIOLET,441739000,9046590,Korea
MARGARETTE,0,8500513,Unknown
RUSLAN,273316050,8510051,Russia
STRAITS COURAGEOUS,457364000,8704262,Mongolia
CHELSEA EXCELLENCE,548362000,9253935,Philippines
LIBRA,0,9009970,Malaysia
ASEAN LINK,0,9054339,Unknown
PROGRESS 5,0,8820573,Malaysia
TRUZHENIK,273332070,9100451,Russia
YAROBOR,273337310,9084944,Russia
CLEANSEAS MOKARA,565241000,9088146,Singapore
UNI CRYSTAL,533180027,9118927,Malaysia
TORA EAGLE,0,7721354,Unknown
CHRISTO,0,6923981,Nigeria
MT.KENCANA EXPRESS,525120010,8905189,Indonesia
FJORDTANK,0,8604448,Panama
SUN OIL I,0,8861694,Unknown
MT DE PRAISE,657390000,7118894,Nigeria
ECOSERVICE,613462000,8604228,Cameroon
CIVICMARINA 4,0,9066320,Thailand
HIAWATHA,0,6925290,Philippines
HY CHAMPION,566382000,9627655,Singapore
DRINA,565838000,9705677,Singapore
ELBE,564406000,9705665,Singapore
HY PROSPER,566511000,9627667,Singapore
HY TALENT,566702000,9664536,Singapore
SEA FORTITUDE,563073220,9705689,Singapore
HY CRYSTAL,566751000,9665035,Singapore
HY JADE,563336000,9678654,Singapore
HY AMBER,564167000,9678666,Singapore
HY EMERALD,566982000,9676307,Singapore
KORF,273350490,9054030,Russia
XELO,631010034,7618272,Equatorial Guinea
MIUS,273440370,7615610,Russia
SHOGUN,0,7626542,Philippines
SUPREME,564412000,9590395,Singapore
EMINENCE,565894000,9542128,Singapore
RODNIK,0,7011060,Ukraine
NADEZHDA,0,8827715,Russia
COMMITMENT,563057800,9834882,Singapore
P. SUDSAKORN 3,0,7929736,Thailand
MAST,566200000,9626209,Singapore
BASHUNDHARA LPG 1,0,9854416,Bangladesh
BASHUNDHARA LPG 2,0,9854428,Bangladesh
JAMRUD SELATAN,0,8712893,Indonesia
MINOR 2,0,9839258,Germany
ECO FRIEND,241616000,9032226,Greece
TONG YEA NO.3,416124900,8910639,Taiwan
SENRYUMARU,431401993,9309564,Japan
MARIA,0,6920197,Greece
GREAT GRACE,312515000,7641475,Belize
GAS GEMILANG,525300135,9009803,Indonesia
MIRACLE TEE,0,8974219,Nigeria
JUBILEE,0,8884567,Unknown
SLEZA,0,7704071,Poland
LUCKY II,0,6916122,Panama
HALIC,271047206,7615749,Turkey
NIKKOUMARU NO.8,431300001,9058878,Japan
SEMIRAMIS,0,9062207,Greece
GERVAIS,0,9821110,Germany
NISR 3,0,7821233,Egypt
HY PARTNER,564778000,9112038,Singapore
ARGO MARIS,613003802,9041643,Cameroon
RONCO,247240200,9599729,Italy
ERREGAIA,0,9126663,Spain
MT ATHENA,533363000,8021581,Malaysia
HALLELUJAH THERESA,0,9126675,Palau
ISHYROS,312492000,9047142,Belize
SIRIUS,211228200,8124503,Germany
BELGHIMOUS,605076458,7815856,Algeria
BORDJ MENAIEL,605076461,7647431,Algeria
BERRICHE,0,7647429,Algeria
BAARDSUND,257304000,8517542,Norway
PETROMAX 6,0,9088809,Bangladesh
MARIANA,0,7376288,Unknown
SUPERIN II,0,7607651,Indonesia
EVERMORE,566799000,9656448,Singapore
EQUALITY,566691000,9656424,Singapore
MERIT,566701000,9656436,Singapore
HONESTY,566867000,9677741,Singapore
INTEGRITY,566975000,9677753,Singapore
MARINE POWER,565459000,9058127,Singapore
ECOSPIRIT,239864200,8334938,Greece
FUJI MARU,0,9066526,Bangladesh
ORIENTAL EXPRESS II,0,7506510,Russia
VODOLEY 4,0,8884268,Unknown
MARNIA,533110083,9162186,Malaysia
GOKDENIZ,271000903,9373254,Turkey
RUTH,0,8909965,Unknown
SAHIR,0,8781038,India
FERIMAS SENTOSA,0,8815449,Indonesia
NOOR ONE,0,5039707,Norway
SEAGAS,265704520,7382691,Sweden
DELTA,0,9249881,Netherlands
ISTANBUL BUNKER,271002360,8138815,Turkey
OLJAREN,265724260,9236315,Sweden
VETOR QUINTO,247222900,6360696,Italy
MEHMET AKIF,0,9823974,Turkey
HUMBER MIST,0,7715408,Unknown
OCEAN FORTUNE,533054600,9087829,Malaysia
HYDROGEN CHALLENGER,0,6724153,Germany
P 40,247179200,8742238,Italy
RADIANT RSL 39,0,9817743,Bangladesh
HEPHAESTUS,0,6519326,Togolese Rep
PUNTA VERDE,247077500,8807117,Italy
CSM 1,566072000,9606869,Singapore
NW AIDARA,671373100,8837227,Togolese Rep
SPOB.RAUS 1,525201412,9930131,Indonesia
KAMUNING,0,8945971,Philippines
PALMAROLA,247223500,5359951,Italy
AMAZING GRACE 2,0,8513235,Unknown
SEAGULL 1,0,6808947,Unknown
NIKA,273444350,8312899,Russia
VICTOR I,0,5018399,Nigeria
SPOB OCEAN MANDAR,525005361,8660868,Indonesia
PACIFIC PRIDE,564434000,9058919,Singapore
DON,273445880,8859718,Russia
DEVI BHAGIRATI,0,8018936,Guyana
EVELYN 1,373519000,9066887,Panama
RUNEK,0,6905848,Unknown
BAIA,617079080,7010896,Cape Verde
MERCURIA,0,9014547,Italy
NGOS ONE,564478000,9066423,Singapore
MARINE DIGNITY,563003350,9084372,Singapore
MT PETRO OCEAN IX,525015907,9033737,Indonesia
SD TEESDALE,0,7510274,United Kingdom (UK)
ENTUS,511345000,6808791,Palau
HOWA MARU NO.18,431101165,9400277,Japan
PARTNER,565257000,9407237,Singapore
KYSTBUNKER,258090000,9153018,Norway
HAUGFJORD,257008000,9622198,Norway
CPCIII,622171157,9653355,Egypt
LINDOS,237500000,7312610,Greece
UM AQUILA,667001915,9104304,Sierra Leone
BIZEN MARU,431005102,9681613,Japan
CHUNG YU16,416005473,9820063,Taiwan
CHUNG YU NO.18,416005474,9820075,Taiwan
KEN GLORY,564949000,9736834,Singapore
EBBA2,211523910,9588914,Germany
SEA ROSE,542560110,9066203,Niue
HALTBAKK VIKING,257571000,9631436,Norway
TONNY,258043000,5262263,Norway
MT.DAWITANKER,525005202,9088158,Indonesia
CHUNG YU NO.19,416005475,9820087,Taiwan
UNITY,563158000,9337767,Singapore
MUMTAZ,249508000,9268514,Malta
LUPINUS,431013616,9859260,Japan
SCANBIO ELIDA,257114970,9856543,Norway
DINAR,0,6800517,Mongolia
EISUI,431000778,9545417,Japan
AN SHENG,0,8916657,Unknown
BERGEN TANK,257706000,9436161,Norway
RASIT BEY,0,6720080,Turkey
KYSTBUNKER II,257266000,9821366,Norway
NEHIR,0,9753258,Palau
KYOKUTOKU MARU,431001824,9591105,Japan
CARL PHILLIP,0,7604714,Unknown
SOUWA MARU,431402035,9363209,Japan
EXCEL,477995358,9720249,Hong Kong
SEA THESAURUS,565866000,9759305,Singapore
KAKUSUI MARU,431009016,9809289,Japan
NOC 8,563067420,9691747,Singapore
EVER BRIGHT,565140000,9742376,Singapore
YAKAMOZ 5,0,5055323,Turkey
STO ROSE,0,9054626,Korea
NORTHERN SKAGERRAK,265797830,9817963,Sweden
ATIFA,533132352,9047130,Malaysia
PELAGIA KYST,257061880,9846483,Norway
NOC 7,563067430,9691759,Singapore
SEPADU,0,6926828,St Kitts & Nevis
ZIRCON,440005700,9745627,Korea
FILIATRA,239200000,6501355,Greece
GAIA NORDIC,219019067,9614593,Denmark
KOAMAS,0,8512205,Maldives
MT SENRI JAYA,525003121,8351053,Indonesia
CAVALLA,533130738,9117179,Malaysia
KEILIR,251340000,9849928,Iceland
RIX MERLIN,235030851,9366952,United Kingdom (UK)
MT STAR 1,508111301,9692521,Brunei
LUBQUEST,563014650,9239719,Singapore
HIRA,0,6907406,Tanzania
EVGENIA,0,5355890,Greece
HAI YIN 1,563020660,9655755,Singapore
MAJULAH SIRIUS,563034560,9774630,Singapore
MT ELISE,645357000,9612272,Mauritius
BALEA,242562300,9799434,Morocco
GOLDEN PROSPERITY,0,8411126,Unknown
PENTRADER 1,0,8604955,Unknown
SANTA GIULIA,0,8830669,Italy
KOSMOS LILY,566135000,9615834,Singapore
MT DORA,750997000,8504818,Guyana
SINDACO MALVITO V,247223300,5080093,Italy
NORA THOMSEN,214182023,6423888,Moldova
KONSTANTIS,0,5261415,Togolese Rep
CHRISANTHI,237009100,8681343,Greece
GAMING,0,7826465,Philippines
AYER CHERDEK,565173000,9698812,Singapore
JET XV,240736000,9516600,Greece
AYER CHERDAS,565102000,9698745,Singapore
SEA TRADER,0,6618861,Germany
AYER CHOMEL,565243000,9710921,Singapore
MARINE A LIAN,565727000,8717740,Singapore
GLORY,563338000,9256183,Singapore
BERGEN ENERGY,258018390,8827052,Norway
HALTBAKK BUNKER,259005800,8502286,Norway
MARINA PICCOLA,247074100,8881345,Italy
MARUOKA MARU,431015453,9882774,Japan
HOEI MARU NO. 21,0,9009712,Japan
LA NINA,477995927,9565003,Hong Kong
METHONI,0,5104033,Unknown
OILFISH,236111602,8903612,Gibraltar
DERINCE,271043008,9647942,Turkey
VERONIKI III,240388000,8626123,Greece
AKRA 90,525005264,9720433,Indonesia
CRS 7,631968000,8708323,Equatorial Guinea
EKO MAR,238148440,8868068,Croatia
ANUGERAH DEWI,0,8421602,Indonesia
KEIYUMARU2,432396000,9161493,Japan
RIX OWL,0,9283588,United Kingdom (UK)
ANTONIOS,239191300,7821647,Greece
VICTORIA,0,9328754,Netherlands
ANDER,312785000,8209224,Belize
VANORA,0,9328766,Netherlands
ZRMANJA,0,6729933,Croatia
KAO 308,0,8877332,Taiwan
AKINTURK 2,271001175,8315669,Turkey
MT BMI PATRICIA,548370200,8863953,Philippines
AKPAKPA,0,5055531,Unknown
OCEAN FAME 1,0,8562016,Hong Kong
RYOHO MARU NO.2,431001062,9560429,Japan
MARINE EXPRESS,0,7016060,Unknown
CERAMBYCIDA,0,8333403,Unknown
MERLION 30,563030850,9703928,Singapore
MERLION 31,563034430,9703930,Singapore
TURU,0,8408777,Unknown
MERLION 33,563029230,9703954,Singapore
MERLION 35,563033240,9704037,Singapore
MERLION 36,563033250,9704049,Singapore
MERLION 32,563029220,9703942,Singapore
TN 1,273355840,5379315,Russia
ANWEI,477601000,9160750,Hong Kong
B. P. P. 4,0,8732714,Thailand
IOANNIS L,241112000,6717227,Greece
AEGINA,0,8989329,Greece
SHANA DES SLOPS,228003800,9575539,France
SENWA MARU,0,9762704,Japan
EXOL PRIDE,235065013,7803437,United Kingdom (UK)
ALI CAN,0,8992730,Turkey
MT SAVIO,247180600,8900440,Italy
YACHIYO MARU,431000392,9459802,Japan
ASSA,251411110,7807330,Iceland
DEW,565761000,9787728,Singapore
GROVEDALE H,0,6700248,Unknown
DRAGONFISH,236112494,9852597,Gibraltar
WOOD SPIRIT,671795000,4906410,Togolese Rep
JOHN WOOD,0,4902945,Unknown
ECODREAM,239550200,8865640,Greece
