name,MMSI,IMO,country
KOSUI MARU NO. 18,0,9181285,Japan
SOO HYUN,0,9156670,Unknown
CITY 19,710001599,0,Brazil
PN TENAGA,0,8118633,Unknown
KYUHOMARU,431004738,0,Japan
LONG GUANG 188,0,9025625,China
SILVER WATER 18,0,8605155,Unknown
EAST,0,7820758,Russia
ORN USA,0,6813758,Thailand
RYUSEI MARU,0,9825489,Japan
DING YU,0,9084152,Unknown
621 RAP GHE E26,574911058,0,Vietnam
UNITY 1,0,7426459,Unknown
WOO CHANG,0,7850650,Korea
TN 620,273321980,0,Russia
YM MRST,249462001,0,Malta
SAHNA LPG FPSO,311711000,0,Bahamas
PASHA 4,271047441,0,Turkey
SANKOTSUBASA,431301575,0,Japan
MAHN,0,7826350,Unknown
SONG WON,445272000,8613360,DPR Korea
CARBONIAN FAITHBOND,0,9691278,Japan
HINODE MARU,0,7921552,Japan
YUYO MARU,431100181,9124067,Japan
2023,525403850,0,Indonesia
KOHO MARU,0,9890288,Japan
ISLA DE SAN ANDRES,0,5137808,United States (USA)
SUNSHINE 7,671329100,8921327,Togolese Rep
SEYOUNG1,440300680,0,Korea
FALAINA,0,8967163,Unknown
SONG THU 02,0,8866436,Vietnam
WAHYU,0,7950785,Honduras
HOSEI MARU NO. 12,0,9078086,Unknown
MIKO II,0,8425672,Philippines
NEW HARMONY,444116119,0,-
AGIOS DIMITRIOS,0,5346411,Greece
AGIA PARASKEVI,0,6816384,Greece
FLORYA E,0,7729679,Turkey
F 2,0,6507579,Thailand
VU ANH HUNG 01,0,8861010,Vietnam
CHI SHAN,0,8732881,Taiwan
HUBMAR 12,0,8654546,Unknown
FUKUJU,0,9078969,Niue
ROGGAR SKY,311000533,0,Bahamas
NEW STREAM 2,431008234,9788734,Japan
HORNG,410001713,0,Bhutan
FUKKOU MARU,431004036,9663934,Japan
TOKUEI MARU NO11,431019456,9949481,Japan
KRONE,0,8666898,Unknown
MIN NING DE YOU 056,0,8655564,Panama
TAISEI MARU NO. 1,0,8955433,Korea
11CHUNG KYUNG,440172660,0,Korea
LILAC0VICTORIA,538004223,0,Marshall Islands
SUNRISE 1,352001174,9078270,Panama
SHREE SAI PAVANPUTRA,0,9091674,India
CATU BARUNA,0,3500738,Unknown
MATSU MARU,0,9821079,Japan
JOSE MARIA SOBRAL,0,7108588,Argentina
SWISSCO 118,0,9206217,Unknown
DUCK SUNG NO. 1,0,6605084,Korea
KATHERINE I,0,7330179,Panama
TPI 5,0,9173408,Thailand
SU HYUP HO NO. 1,0,8875994,Korea
TECHNO ACE,431018825,9933157,Japan
ORATANK,0,6902810,Nigeria
SMARAGD,0,9568134,Netherlands
TRANS OCEAN,657137444,0,Nigeria
SHOEI MARU NO. 7,0,7914729,Japan
HIYOMITORI MARU,0,8100935,Honduras
CHINZEI MARU,0,8626290,China
JACK,265730970,0,Sweden
KAIUN MARU,0,7510119,Unknown
TAISEI MARU NO.5,0,8894952,Japan
TOKO MARU,0,8520604,Korea
RUI HONG 916,0,9058866,Unknown
MT KYOKUZAN,525020336,0,Indonesia
OWA MARU,0,8967383,Japan
UNION STAR 82,0,8503759,Indonesia
SHOGI MARU,431010448,9805960,Japan
JASMINE,0,8777611,Singapore
DONG DO 16,574401072,0,Vietnam
PASUNDAN WARRIOR,0,8773689,Indonesia
KEIHINMARU NO.8,431008957,0,Japan
IRAN YOUSHAT,0,8319952,Iran
YEONG JIN NO. 88,0,6827096,Korea
ALI CAN,271048186,0,Turkey
TAIYO MARU NO11,431016922,9907926,Japan
MT. HARTADIKA 4,525300076,0,Indonesia
AMORENA,0,7405962,Unknown
STAR ANGEL,0,7929542,Unknown
GWANGJIN 107,0,9678678,Korea
PETR WRANGEL,273430710,8230766,Russia
TSUBAME MARU NO.58,431012724,0,Japan
YAMABISIMARU NO.18,431011136,9831402,Japan
BUSUANGA,0,8029466,Philippines
NIKA 1,273445350,8421468,Russia
MEIKOU MARU,0,9964584,Japan
COMMANDER GRUT,0,6519508,Malaysia
DEMRE 7,0,9784934,Turkey
EL DORADO,0,8849402,Unknown
BO KWANG NO.3,533170703,9081851,Malaysia
SALIWATHIN,0,5190240,Thailand
TARSUS ALFA 03,525101414,0,Indonesia
HORYU MARU,431001133,0,Japan
JUAN DE DIOS FRAGA MORENO,0,7017806,Cuba
SHINSEI MARU,0,8220888,Korea
SPOB SANDIANA 9,525400133,0,Indonesia
KYOKA MARU,0,8816261,Panama
YW 17,0,4574633,Japan
SHABNAM 3,0,9663893,Bangladesh
HAKATA,341723000,6921634,St Kitts & Nevis
SHOZAN,0,9078402,Japan
TAISHO MARU NO.15,0,5199777,Unknown
MING ZHOU 15,0,8830839,China
LIAODAGAOYU25286,415168888,0,-
METRO NO. 2,0,8980115,Malaysia
ALSADI,0,6875861,Honduras
SONG TAI SHAN 5,0,8317382,China
SARI KAYA,529900869,0,Kiribati
NOJIGIKU,431000828,9523768,Japan
YUTOKUMARU,431019598,9949572,Japan
FARIDA,470755000,9136072,United Arab Emirates (UAE)
PAKTAI,0,8746399,Honduras
DA QING 204,0,8429549,China
AA,352000000,0,Panama
CHEMICARRY NO. 20,0,6612879,Korea
.1,574117378,0,Vietnam
MYOHO MARU NO. 1,0,8621197,Unknown
IZUMI MARU NO.10,431002005,9560467,Japan
MAEMI II,563104000,0,Singapore
PMS I,0,7320631,Unknown
D0NG19B6 A9CAU,574991105,0,Vietnam
KOUHOU MARU,431005426,9744180,Japan
WOO KYUNG,440300950,0,Korea
DONG HUI,0,9234836,China
MKPODU,0,8793902,Nigeria
JINWA MARU,0,9843546,Japan
HE LI,0,8555738,China
YO 43,0,4745464,Japan
KONKO MARU NO.62,0,7853145,United Kingdom (UK)
PTS 19,574400867,0,Vietnam
SAMUGARA 18,525009085,0,Indonesia
PELICAN,0,8134467,Cote d'Ivoire
STAATSOLIE V,0,8802741,Suriname
KIKAKU MARU NO. 11,0,8312576,China
DONG JOO NO. 3,0,9078505,Korea
DELSAN V,0,6518906,Philippines
SAYURI MARU,431001931,9587740,Japan
TOBASE3,431018785,9930727,Japan
M V TINA II,419900888,0,India
PETROMAR 29,247332900,0,Italy
SPOB. BUANA DYNAMIC,525100091,0,Indonesia
MAGNOLIA IV,0,9876206,Philippines
PAVINO,0,8870918,Russia
DENG,419905393,0,India
YAMATO MARU,0,9067960,Unknown
S T S 7,0,5408374,Unknown
TPI 2,0,9173379,Thailand
TAISHO MARU NO. 6,0,9485291,Japan
EIHO MARU NO.31,431004798,9707431,Japan
MT ALIYA SARI,533063700,0,Malaysia
LUJININGHUO5196,546328842,0,French Polynesia
TK III,0,8792673,Indonesia
ALEXIA,0,9839246,Belgium
MIDAS,457410000,9105279,Mongolia
MASLOVOZ 1,0,8963557,Russia
COSMIC 12,0,8907632,Indonesia
KM.MURAK INDAH 2R,521869532,0,-
YUKO MARU,0,7805473,China
SPEED 2,0,9155444,Egypt
QIKIQTAALUK W.,316037697,0,Canada
RIX PHOENIX,0,9392638,United Kingdom (UK)
TISYA 9,0,8352306,Indonesia
ATHANASIOS T,0,7228479,Greece
KISONAGI MARU,0,7518771,Korea
SHINSHINMARU,431003616,9661780,Japan
NIPPO MARU NO.62,0,5421675,Unknown
YUSHO MARU,0,9096698,Japan
DUTA PERTIWI V,0,8660296,Unknown
JOSHUA CHINO,0,8520587,Philippines
BINA SATU,0,9067154,Malaysia
DIKSON,0,6900018,Unknown
SUZUKA MARU NO. 2,0,9031806,Japan
JIN SUNG HO,0,9078892,Korea
JISUNG,440300770,0,Korea
MT,220555500,0,Denmark
GLADIOLUS 2,0,7651535,Philippines
SAMUGARA II,0,8876003,Unknown
MOR.1 MONTREETAWESIN,0,8787381,Thailand
SHOEI MARU NO. 8,0,9078139,Japan
MTKR BULUSAN 2,548772200,0,Philippines
NAN HAI 138,0,5302348,China
MT BINA SATU,533000319,0,Malaysia
CD GUARUJA,710999934,0,Brazil
SURE HAND,0,5295442,Unknown
SOUTHERN SEAS,0,8945828,Philippines
EUROPEO 1,0,8867923,Belgium
YG 205,0,4574750,Japan
BOW COMPASS,257163273,0,Norway
BUYUNG HO,440117520,0,Korea
MT GEBANG,525008039,0,Indonesia
KHOPER89289004742,273877665,0,Russia
V. C. C.,0,8984111,Unknown
OCEAN TUNA,410230000,0,Bhutan
RAKPASAK 2,567300028,0,Thailand
CAROLINA,0,8134065,Panama
ALEXIA 3,622120925,0,Egypt
VOLENDAM,0,9416305,Netherlands
JATI,0,7115529,Honduras
KEUM KANG,440128530,0,Korea
WISELY,338252314,0,United States (USA)
RED SEA ARAB,0,5346576,Saudi Arabia
GENER8 OCEANIA,636117751,0,Liberia
MAAIKE,0,9634971,Unknown
JAHANGIR NISHAT 2,0,9669201,Bangladesh
KOSEI MARU,0,9088603,Japan
TN 633,273327120,0,Russia
JENG SECK,440103230,0,Korea
YUKOHMARU,431018528,9926362,Japan
HUENHILGHEF30B30,336860790,0,Haiti
NAVAKUN 14,0,7913866,Thailand
ZHE LU YOU,0,8955213,China
QIAN JIN,200019989,0,-
SHOMEI,431000635,9519602,Japan
SONG SOON HO,0,9159256,Korea
MUSASHINO MARU,0,9048005,Unknown
MUNEERAH,0,7805540,Kuwait
EIFUKU MARU NO. 10,0,8115019,Unknown
96 SHIN HYUN,440300970,0,Korea
KISHIN MARU,0,5189277,Unknown
CHEONG LUNG,477996131,0,Hong Kong
VYMPEL 1,273321780,0,Russia
REACHY SUMMER0,538010100,0,Marshall Islands
SANKO 71,0,8975988,Japan
SULPHUR TRIPPER,431301411,9118989,Japan
OLYMPYC TRUST0,538005861,0,Marshall Islands
LADY JUDITH,0,6704567,Unknown
DUBAI,344555000,0,-
MAYURPANKHI,0,6929430,Bangladesh
KIKU MARU NO. 1,0,9004346,Japan
HOOGLI HARVEST,0,7372567,India
ARJU,0,9670444,Bangladesh
HOYU MARU NO. 38,0,9234159,Japan
AYER MAWAR,0,8017229,Unknown
TAHA BEY,0,8773304,Turkey
SPOB SUNGAI KAIS 01,525023439,0,Indonesia
MKK I,0,7651171,Unknown
HOYU MARU NO. 3,0,8137471,Japan
HARTADIKA 2,0,8520721,Indonesia
IMPALA LADARIO,755004635,0,Paraguay
PTS 27,574013188,0,Vietnam
YU SUNG HO,440133590,0,Korea
LSCO BALINTAWAK,0,5393969,Unknown
QIN YOU 1,0,8830293,China
HOKENMARU NO.3,431014522,0,Japan
NAM KYUNG HO,0,9124304,Korea
KOTOBUKI MARU NO. 8,0,9124835,Japan
TRICHEM MARLIN,0,8806333,Indonesia
SHINKAWA MARU,431020091,9940045,Japan
CONFIDENCE POWER 2,0,9931642,Bangladesh
SPOB SYARIFA,525006134,8773055,Indonesia
AVOTS.,273212030,0,Russia
TOSIN,431012433,9844186,Japan
TAISEI MARU NO5,431014116,9889069,Japan
SAMILA MARU,0,8785278,Thailand
VALBURG,0,8857887,Unknown
FULFORD,0,5069025,United Kingdom (UK)
NATPASSORN,0,8740319,Thailand
BAKI 1,423185100,8887741,Azerbaijan
SH WISDOM,0,8865004,Malaysia
SRINAPA,0,7124130,Unknown
AL HELAL,0,6720975,Unknown
WISELY,339300890,0,Jamaica
PYATIMORSK,273378160,0,Russia
YU SUNG HO,0,9650690,Korea
DIVA 369,0,8811053,Indonesia
ASAHIGAWA MARU,0,8317136,China
MAROS INDAH JAYA 02,0,9918391,Indonesia
TESTFURKI2,545236962,0,-
HOSEI MARU NO. 3,0,8997558,Japan
PEA,227365000,0,France
POSEIDON,0,8848551,Unknown
DAEJIN HO,440330260,0,Korea
PETRON 7 DC,0,8945256,Unknown
SONG CHANG,0,8132421,Korea
LCTGLORY STAR,533000748,0,Malaysia
SANSHA MARU NO. 21,0,9145944,Japan
AWA MARU,0,8151611,China
HUI TONG 18,477996299,0,Hong Kong
BE2 BE4 BE5 BE6 ,666567567,0,Somalia
KYOKUWA MARU,0,8840078,Japan
DA QING 223,0,8896754,China
SOUTHEN LUCK,636080420,0,Liberia
NIKKO MARU NO.28,431012455,9853383,Japan
FAN SHUN 6,0,9042790,Unknown
BARGE NO.7,0,7904645,Egypt
8 SHOWA MARU,431012426,0,Japan
TAI HONG,416007195,9919149,Taiwan
NAN HAI 146,0,8834172,China
FUSEDALE H,0,8635370,United Kingdom (UK)
TENNESSEE WALKER,0,8945270,Unknown
SPOB NOOR HIDAYAH,525000265,0,Indonesia
KYOEI MARU NO. 3,0,8627189,China
FAZAR,0,8421133,Bangladesh
KANSAI MARU,0,5151074,Unknown
TAMSI,0,8428064,Philippines
CD ICARAI,710014370,0,Brazil
ROCK 2,0,7652955,Unknown
CHRISTOS,0,6504230,St Kitts & Nevis
VOLGBAT226,374817576,0,Panama
SL TAWA TAWA,548417200,0,Philippines
M.T. AMARSUKH,419001577,0,India
SEA TARO,0,8519497,Unknown
J N PRINCESS,0,8014485,Philippines
MIN YOU 2,0,8831479,China
NAKAOKI MARU,0,7735434,China
RYOEI MARU NO.2,431000224,9451836,Japan
SP MARINE,0,8865080,Korea
ALABASTER,0,9011208,Indonesia
SMART GENIUS 3,0,8666393,Hong Kong
ONDINA,271002201,0,Turkey
ASIAN DUKE,0,7934999,Maldives
MT RAFAEL,525003119,8303915,Indonesia
IMEXTRANS 17,0,9022960,Vietnam
NAN HAI 132,0,6815005,China
2788,335411254,0,-
KOTOBUKI MARU NO. 3,0,9079743,Bangladesh
THAI BINH OIL,574401458,0,Vietnam
SEATECHNIC,271000069,5072333,Turkey
HOKEN MARU NO. 3,0,9905019,Japan
MAXICO,0,8151609,Unknown
MALANCHA MALINI,0,7300552,Bangladesh
JIN HEUNG,0,8226002,Korea
JIN YOU 4,0,8621549,China
PROMISE III,533000095,9078218,Malaysia
YOUSHINMARU,0,8936499,Japan
DESH I,0,7853341,Bangladesh
WENCKE,211183000,0,Germany
KISARAGI MARU NO.11,431000664,9424687,Japan
CL TH DUY P3 A1B1,574324444,0,Vietnam
SPOB JAYA MUKTI 1,525022389,0,Indonesia
ASAHIMARU NO.8,431005645,0,Japan
MEE,273503810,0,Russia
HAI HA 98,574014354,0,Vietnam
GUNES K,538090570,0,Marshall Islands
PETROLANE NO. 1,0,6512574,Unknown
STRONG HAND,0,5208073,Unknown
FRONT CAPITALIST,725692603,0,Chile
MAENAM 23,0,7705764,Thailand
WANHAI,574710056,0,Vietnam
HAADIYJAH NUR,0,9255414,Indonesia
SUN CHUN 5,477996022,0,Hong Kong
DAKOTA KING,0,8683157,Colombia
CAHAYA KAPUAS 2A,0,8354782,Indonesia
STOLT KOLN,0,8643690,Netherlands
KMT MULIA MANDIR 2,525600890,0,Indonesia
MT.BARUNA 58 I,525500366,0,Indonesia
DUTA TRANS 02,0,8356039,Indonesia
WEI BIAO 3,0,8352057,China
MAGPIE 2,477286612,0,Hong Kong
SAMUGARA I,0,8734554,Indonesia
DAECHEON ACE,0,9251119,Korea
HOEI MARU NO. 18,0,8911633,Korea
MV GANGAPUTRA,419741262,0,India
SEA EUNICE,667963000,8609072,Sierra Leone
ASAHI MARU NO. 8,0,8805236,Japan
OS 7,273371870,0,Russia
DAIYU MARU NO. 8,0,9005209,Japan
KASUGA MARU NO. 5,0,8514007,Bangladesh
HOUEI NO. 3,0,9110262,Japan
SAMBI HO,0,8515051,Korea
YUSHO MARU,0,7916387,China
CITY,0,9710830,Turkey
WAIGEO,0,8105674,Indonesia
PLJS,525014079,9781243,Indonesia
SLAMET VIII,0,7409425,Indonesia
KWANG JIN HO,440134270,0,Korea
207 HYUNDAI,0,9079573,Korea
TANKER 1,273317880,0,Russia
BALTIC GLORY,0,7401459,Unknown
KADER 5,0,5058832,Turkey
HOETEK,0,7818262,Unknown
SILLERY,0,5411773,St Vincent & Grenadines
DJANGO,272739000,0,Ukraine
21 DONGBANG,0,9935131,Korea
BIEN DONG 50,0,8953863,Vietnam
MT MICHAEL 5,525700298,0,Indonesia
SEN OUUMARU,431000670,0,Japan
CARNIVAL,0,7808994,Philippines
PAELEHEI,211331260,0,Germany
BAY IV,419900633,0,India
JIXIANG6,313444190,0,-
FLANDRIA 6,0,8120624,Belgium
REITAKU MARU,0,9402524,Japan
LP MARU NO.17,431009327,9805958,Japan
KOSHIN MARU,0,8870645,Japan
SANTAI MARU,431602305,9093323,Japan
ADAUGO,310468100,0,Bermuda
SPOB PERMATA MULIA01,525023429,0,Indonesia
TPI 1,0,9173367,Thailand
POLAR GAS,0,7035119,Korea
KUMANO MARU,431402029,9094262,Japan
DEECHOKDEE,0,7419901,Thailand
DA QING 207,0,8429563,China
NO8WOOJINHO,440038740,0,Korea
AMBER,422215900,0,Iran
KIRAZ YALI,271002008,0,Turkey
HOKURYU MARU,0,8911164,Japan
CHEMICARRY NO. 22,0,7535535,Korea
FROSINI,0,6413912,Togolese Rep
SHREE PRAKASH,0,8790273,India
JIN HANG YOU 12,0,8621496,China
URJA PRABHA,0,4772314,India
KEIHIN MARU NO. 8,0,9009578,Japan
YO 40,0,4574621,Japan
ATAGO MARU NO. 6,0,8865078,Japan
SUZUKI 802,0,9932282,Japan
QUOC THUAN TD A21,574561873,0,Vietnam
201 WESTERN GREEN,0,9037513,Unknown
SEN OUU MARU,0,9606596,Japan
AAA,415808080,0,-
PU YOU 2,0,8831120,China
PILATUS 50,567002490,9110092,Thailand
PENASI,0,8610318,Indonesia
KOEI MARU,0,8351015,Japan
ASAHAN,0,7634472,Indonesia
ATSUTA,529953000,9159505,Kiribati
ALICE,0,8614936,Belize
AL SALAM,0,7728170,Egypt
YW 23,0,4574695,Japan
LENANEFT 2022,273357190,0,Russia
JENNY,272122600,0,Ukraine
SOLAR MICHELLE,636098800,0,Liberia
SPOB PETRO OCEAN VI,525018054,9695080,Indonesia
JEAN BART,0,7741902,Belgium
SAIKO,0,7832270,Panama
SUZY,636056211,0,Liberia
KYOKUHOUMARU NO22,431301601,0,Japan
WILLIAM L. WARNER,0,7322055,United States (USA)
OSIRIS,0,7728223,Egypt
AVANTI,0,8731473,Belgium
SYUEIMARU,431000972,9544798,Japan
SHOSHIN MARU,0,8922682,Japan
KHURAIS,604559848,0,-
BONGGAYA NO. 30,0,8428519,Malaysia
SHUNYO MARU NO.3,431010577,9832107,Japan
BERKAT ANUGERAH 06,525020386,8692184,Indonesia
DELSTAR,0,7323176,Philippines
RAGAY GULF ST. JUDE,0,7613210,Philippines
YO 178,0,6122343,United States (USA)
KM BAHARI 688,525600418,0,Indonesia
HRISMAR,0,8936152,Bulgaria
CIHERANG III,0,7712509,Indonesia
SPOB GG,525800272,0,Indonesia
MHO BA CHO KH 95301,574140840,0,Vietnam
MT KABAKA MUTEBI II,675010013,0,Uganda
TABONGANEN,0,9037484,Indonesia
CABO VERDE,0,7311147,Unknown
ISLAND OIL ONE,0,9043160,Unknown
MASAGORO MARU,0,8713158,Korea
QINGYOU 7,200027844,0,-
UFULU,0,8208012,Malaysia
HIEP PHAT 05,574401071,0,Vietnam
ALABAN 98,525301264,0,Indonesia
RYOKA MARU NO. 103,0,7916258,China
ARMADA OIL,0,7022320,Indonesia
MARINE UNITY,0,9582817,Singapore
VIRGIN 1,0,9953858,Mauritius
PINELOPI K.,0,5005469,Greece
SIN HEUNG,440190080,0,Korea
YUJIN NO. 1,0,8414453,Korea
BHARATI 433,0,9674311,India
AEOLUS I,0,9098218,Unknown
TORAFUKU MARU NO. 5,0,9234886,Japan
89 A 27,574070032,0,Vietnam
ZHOUTONG58,290282769,0,-
MT COSMIC 15,525011127,9020247,Indonesia
HARTADIKA 4,0,9132985,Indonesia
DAEHAN3HO,440097890,0,Korea
PACIFIC OCEAN 3,0,8327739,Unknown
PHIL CEBU,0,9655810,Philippines
JAYA UTAMA II,0,8737764,Indonesia
SEAHORSE,0,8427967,Philippines
TAN NHU HA 89 D38,574611096,0,Vietnam
HEERA1,419001688,0,India
SAM JIN NO.1,440134750,9124237,Korea
KOUSEIMARU,431008687,0,Japan
ANDRINA 200,0,9810537,Philippines
SHUHO MARU NO. 5,0,7530573,China
EVELINE,0,9680607,Netherlands
MT HORAI,525281444,8614376,Indonesia
JOVADIX,0,8333374,Unknown
BERLIAN SELATAN,0,8806424,Indonesia
M. T. Z. N 01,0,9670509,Bangladesh
TAIKEIMARU NO.5,431300411,9150901,Japan
PULAU IRIAN,0,7534945,Indonesia
SHOEI MARU,0,7414432,China
SEA DIGNITY,563071760,9807334,Singapore
CARWAI,0,8417053,Hong Kong
SUNG SIN HO,440102820,0,Korea
CANTANKERUS,367720830,0,United States (USA)
LPGC ALIA 1,525010055,8416633,Indonesia
PSP GOLDEN,533132129,0,Malaysia
QING YOU 6,0,8830774,China
YAGNASRI,0,7713929,India
B.P.P4,567139304,0,Thailand
SAMJIN2,440108080,0,Korea
L PROMISE,0,8915081,Indonesia
LION DREAM,0,8986858,Unknown
SAIWAI MARU NO. 3,0,9124940,Japan
AOMINESAN MARU NO. 5,0,9063392,Japan
PETCHPAILIN,567999025,0,Thailand
SRI MEWAH V,0,8623585,Unknown
HAI THANH 19,574401445,0,Vietnam
MT STRAITS 1,533065400,9003744,Malaysia
TAMAYOSHI MARU NO. 8,0,9933688,Japan
JOINT RICH,477996496,0,Hong Kong
MINPUYU55555,330040000,0,Grenada
MJE 01,0,8682608,Indonesia
YUSHO MARU,0,9959890,Japan
AAA,437001000,0,Uzbekistan
LUFFY,0,9072769,Gabon
MARINE DIESEL OIL 1,567999152,0,Thailand
KYO MARU NO. 3,0,8617536,Korea
SL TAWA TAWA,547368624,0,-
ANNA CLARA,710002999,0,Brazil
SEA GODDESS I,0,7652943,Unknown
NO3TAEYOUNG,440324850,0,Korea
LERT FAH,0,8350255,Thailand
JINJA MARU NO. 8,0,9805192,Japan
TAISEI MARU NO. 5,0,9033579,Unknown
LAGO TURKANA,0,8837007,Togolese Rep
KOKI MARU,0,8923791,Japan
LIEN LI NO. 1,0,8013390,Unknown
CLEARFLAME,0,8523383,Unknown
IGNACIA,0,8658712,Philippines
SUN TREASURE,0,9021241,Unknown
TM 111,567999048,0,Thailand
FALMOUTH JUBILEE,0,7633258,Unknown
KAMUIMARU,431016729,0,Japan
DICKSON 55,0,7320875,Unknown
SAFA 1,0,5252567,United Kingdom (UK)
SPOB WIRANDI IX,525024248,0,Indonesia
TAMARIKI MARU,431001417,9573880,Japan
KHI1754,352001822,0,Panama
NEW DEFENDER,636012165,0,Liberia
TIMOFEI SCHERBANEV,273457320,0,Russia
TAIHEI,0,9207144,Unknown
DONG SUNG 9 HO,440402020,0,Korea
GLOBAL 5 H0,440145620,0,Korea
SENKAKU MARU,0,7111274,Japan
DELFI,0,8866266,Russia
XIN PING JIANG 1030,0,9069384,China
MT.VICTOR SATU ,525007345,0,Indonesia
MPMT XV,525300713,0,Indonesia
KYOKAI MARU NO. 17,0,8518821,Japan
MANEI MARU NO. 6,0,8421377,Japan
OKSKIY 22,273333190,0,Russia
STERLING,0,9040924,Turkey
ALBERT D.L.,0,9895628,Philippines
FUKUJU MARU NO.5,0,5123352,Unknown
SPABUNKER V,0,6614449,Unknown
LUCK HOPE,0,6918182,Panama
MARC L,0,6914291,Senegal
MT SAMUGARA 9,525009084,0,Indonesia
KAIYU NO. 2,0,9016129,Japan
SONCENTE,0,7604984,Cape Verde
SPOB LAUTAN INDAH JAYA I,0,8658877,Unknown
MANGAL MEENA,0,8326838,India
ST 88,440146540,0,Korea
PORT COSTA,0,5282304,Unknown
HOURIN NO.3,431000932,9523770,Japan
FARADILA 02 ADIOS,0,8773718,Indonesia
ANTOIL 4,272185200,0,Ukraine
HORYU MARU,0,9566045,Japan
DONGBANG ACE,440190820,0,Korea
NAUREEN 1,0,7639094,Bangladesh
HULMASHERCULUS,256734064,0,Malta
FUYO MARU,0,8221208,Korea
UN PHA 2,0,8966535,DPR Korea
MT. FERIMAS ANUGERAH,525021388,0,Indonesia
YUYO MARU,0,9079561,Japan
SAVIMEX 06,574400157,0,Vietnam
CHUNG KYUNG,0,8810970,Korea
OMERA GLORY,0,9819430,Bangladesh
XIANG HAN SHOU FU 0522,0,8674974,China
JIN YOU 3,0,8621537,China
DANIEL,0,8643535,Netherlands
YONGSUNGHO,440401980,0,Korea
KANNA,0,7909140,Japan
BERKAH JAYA II,0,9737802,Indonesia
MT DAN 03,525020335,0,Indonesia
LADY ANNE,0,7851848,Nigeria
KYOKUSHO MARU,431501667,9240902,Japan
KOWA MARU,0,9333890,Japan
UNIQUE 9,0,7930187,Thailand
KMT. USAHA BERSAMA,525400035,0,Indonesia
KM.SEA MASTER TWO,525018304,0,Indonesia
AOMINESANMARU NO.58,431006719,0,Japan
AOMARU,431000587,0,Japan
KOLIN 4,0,8619297,Turkey
AL BURULLUS,0,7631030,Egypt
MT SIBU GLORY,533479000,0,Malaysia
TENRYU,0,7818987,Panama
OOSTZEE,0,8976401,Netherlands
KINYU MARUNO.10,431501818,9341017,Japan
RUHI,0,7719650,Bangladesh
ATLACIS ARMONA,248774660,0,Malta
KAIYO MARU,0,9734939,Japan
MAJUAN 5,0,7300095,Indonesia
DONG UN,440135420,0,Korea
B.O.S.20,0,8136025,Belgium
AZEEZ E9,318362631,0,-
ANA MARIA,0,7042801,Colombia
MAHASA,0,7535341,Indonesia
CARHO,0,7331305,China
SHAH AMANAT 2,0,9063536,Bangladesh
GGS 1012,0,4569925,Italy
IVY,0,8835750,Equatorial Guinea
VENI,0,9455337,Netherlands
ARINA,0,8897667,Unknown
NORLHA 3,0,8698205,Indonesia
TN 632,273340170,0,Russia
KOWA MARU,0,9660712,Japan
HAEWON,440017150,0,Korea
SAN MARTIN,0,6621181,Panama
KATSURAGI MARU NO. 2,0,7932989,Korea
INDRA INTAN 3,0,7921564,Honduras
SUNRISE 1,0,9071662,Unknown
LU YAN YOU 2,0,8829701,China
VAN PHUC 01,0,8669084,Vietnam
MIR MAHNA,422325000,5165776,Iran
DON PABLO,0,5092101,Unknown
BLUE PEARL,0,8304361,Unknown
PACTARA,0,7502186,Unknown
CORTINA,0,5355345,Panama
TRISTAR SPIRIT,470917000,9541241,United Arab Emirates (UAE)
RAKPASAK 6,391003921,0,-
MT.SWORDFISH 8,525010246,0,Indonesia
FUJI MARU NO. 3,0,8221167,Korea
SANKOU HIRYU,431017256,0,Japan
AL GHADEER II,0,7212690,Unknown
PRIMA TANKER,0,8221791,Indonesia
NAGATO MARU,431000963,9560546,Japan
EHSAN IKRAM,0,9772723,Bangladesh
KYOKUSEI MARU,0,8630253,Japan
NO.8 KAKUWAMARU,431015351,9890343,Japan
NO.77 YANGWOO,440103380,0,Korea
KYOKUSHO MARU,0,8414439,Unknown
TOTI H,755131000,0,Paraguay
MYOJIN MARU NO.8,0,5324281,Unknown
SANYO MARU NO.7,0,7853901,Unknown
ANTONIO H,755003782,0,Paraguay
NICHIWA MARU,0,9865491,Japan
IBIENE,0,8670239,Unknown
COZALD N ,636013808,0,Liberia
HUMBER ENTERPRISE,0,8635356,United Kingdom (UK)
M T. ZERNAIN 2,419901057,0,India
SPOB BRAVO SATU,525101080,0,Indonesia
MV.KRISHNA,419901025,0,India
BAMBI,0,7651078,Panama
RE XU DL DV 9X D35,574112369,0,Vietnam
KENCANA 5,525016537,9058529,Indonesia
ANIC I,0,8319201,Unknown
ECO XI,239141100,0,Greece
NORDERTOR,0,5387764,Germany
AMAL,470810000,9239953,United Arab Emirates (UAE)
MEIHO MARU NO. 28,0,7853262,China
TR 75,273344480,0,Russia
JADE,0,8845987,Honduras
ESPERANZA,0,8426080,Philippines
RYOEIMARU,431006294,0,Japan
SMLANCA MIAMI,538007328,0,Marshall Islands
HENG WEI,0,9054652,Unknown
NO.11 SEYANG,440149350,0,Korea
MT SAUSALITO,548726200,8957546,Philippines
VISDEMCO,0,7921411,Unknown
ALIAGA RESPONDER,0,8877930,Turkey
LCT SUMBER POWER,525020076,0,Indonesia
JANA,0,9269013,Netherlands
