lon,lat,speed,timestamp,course,mmsi,source_port,dest_port
120.86796,25.17457,0.9 Knots,2022-09-19 04:59,4,667001531,taiwan,Unknown
26.32130,39.43152,9.5 Knots,2022-09-24 23:14,94.4,271042975,turkey,Unknown
34.60944,31.81767,0.2 Knots,2022-09-25 00:55,356,235090927,cyprus,israel
120.29525,14.80947,-1,2019-12-23 17:34,---,548351200,philippines,PASACAO
23.53278,38.03756,-1,2022-09-25 00:55,227,241675000,greece,greece
-5.36494,36.14743,-1,2022-09-25 00:54,358,236737000,gibraltar,gibraltar
116.95536,-1.32920,3.4 Knots,2020-11-08 13:12,216.9,525021118,indonesia,KOTABARU
27.47558,42.48814,-1,2022-06-07 11:56,---,207133000,bulgaria,bulgaria
116.82984,-1.32524,7.5 Knots,2022-09-20 22:46,307.3,525009086,indonesia,BALIKPAPAN
30.22352,59.87700,-1,2022-05-02 06:10,311,273318420,russia,russia
117.52916,3.35375,-1,2021-11-09 10:26,---,525003128,indonesia,Unknown
-79.80357,43.29218,8.6 Knots,2022-09-24 18:16,179,316024041,canada,canada
139.74624,35.51731,3.6 Knots,2022-09-24 22:19,323,431301663,japan,japan
134.54808,34.28943,13.2 Knots,2022-09-21 19:43,291.3,431402051,japan,JP KNX/OFF
139.17691,34.84823,13.7 Knots,2022-09-24 13:42,215.8,431005439,japan,japan
134.11264,35.76014,13 Knots,2022-09-22 15:07,262.3,431005055,japan,&gt;JP KNM
134.38402,34.43435,9.8 Knots,2022-07-04 10:12,245.2,431000393,japan,japan
134.52885,34.47163,13.3 Knots,2021-03-14 10:14,246.4,431501727,japan,JP SBK  OFF
135.18647,34.66408,-1,2022-09-25 00:55,196,431501663,japan,japan
129.16487,35.09691,10.9 Knots,2022-09-24 19:26,208.6,440323340,korea,Unknown
123.03931,0.26149,10.1 Knots,2020-02-19 17:37,90.2,525100679,indonesia,BITUNG
129.05450,35.11767,2.4 Knots,2022-09-24 07:47,316,440500300,korea,korea
139.65725,35.40918,0.3 Knots,2022-09-24 23:03,5,431101028,japan,japan
100.70457,13.31006,10.7 Knots,2022-09-11 02:58,134.4,567002870,thailand,PAKNAM
130.95630,30.79508,10.9 Knots,2020-02-05 05:16,35,431000715,japan,&gt;JP KNX OFF
48.94652,44.94184,0.2 Knots,2022-08-20 18:38,91,273359960,russia,ASTRAKHAN&gt;&gt;&lt;<schkm< h3=""></schkm<>
135.38421,34.60674,9.6 Knots,2022-09-25 00:55,87.8,431001045,japan,japan
134.38496,34.42373,11.4 Knots,2022-09-20 14:42,247,431000622,japan,&gt;JP MOO OFF
140.17272,34.99513,12.9 Knots,2022-09-25 00:55,237.3,431001357,japan,&gt;JP YOK YK-1 OFF
142.69173,46.66298,-1,2022-09-25 00:55,263,273356770,russia,KORSAKOV
103.97966,1.22732,3.5 Knots,2022-07-02 23:36,59.8,631717053,Unknown,HIGH SEA
132.93547,42.76358,7.4 Knots,2022-09-25 00:55,178.7,273332710,russia,russia
103.99435,1.18802,0.3 Knots,2022-09-25 00:54,---,631805011,Unknown,EOPL
131.88407,43.06167,-1,2022-09-25 00:54,---,273346860,russia,Unknown
133.52881,42.74904,8.6 Knots,2022-09-21 00:13,78,273345530,russia,ZALIV PETRA VELIKOGO
131.89790,43.09193,-1,2022-08-03 04:47,314,273342510,russia,russia
132.46204,42.75773,9.5 Knots,2022-08-29 11:12,115.6,273340120,russia,RU KRABOZAVODSK
129.20292,35.10639,5.4 Knots,2022-09-20 16:09,49.7,441739000,japan,KR USN AS
131.91225,43.11042,-1,2022-09-25 00:55,282,273316050,russia,russia
104.09914,1.24918,7.1 Knots,2022-05-29 07:43,77.4,457364000,singapore,EOPL
120.20924,14.73617,7.8 Knots,2019-12-10 04:36,177.4,548362000,philippines,philippines
131.90510,43.10855,6.7 Knots,2022-09-25 00:55,96,273332070,russia,russia
132.94048,42.75750,9.1 Knots,2022-09-25 00:55,358.7,273337310,russia,russia
103.93848,1.29083,0.9 Knots,2022-09-25 00:55,---,565241000,singapore,singapore
103.60860,1.19353,9 Knots,2022-05-22 14:13,282.3,533180027,malaysia,malaysia
106.87748,-6.10511,-1,2022-03-16 16:58,---,525120010,indonesia,TG.PRIOK
---,---,-1,,---,657390000,Unknown,Unknown
30.71508,46.31163,5.1 Knots,2022-02-20 20:19,262.6,613462000,italy,CHERNOMORSK
103.94613,1.29933,0.1 Knots,2022-09-25 00:53,---,566382000,singapore,AEPB
103.75047,1.19600,-1,2022-09-25 00:26,301,565838000,singapore,singapore
103.95515,1.29917,0.1 Knots,2022-09-25 00:50,320,564406000,singapore,singapore
103.95740,1.29830,0.1 Knots,2022-09-25 00:50,323,566511000,singapore,4.AEPB
103.94107,1.29791,-1,2022-09-25 00:55,307,566702000,singapore,singapore
103.74918,1.18446,-1,2022-09-24 21:41,229,563073220,singapore,singapore
103.72540,1.21599,-1,2022-09-24 22:44,235,566751000,singapore,ASPP
103.97311,1.29445,0.1 Knots,2022-09-25 00:54,317,563336000,singapore,ARP
103.72246,1.22058,-1,2022-09-24 22:02,95,564167000,singapore,singapore
103.94110,1.29802,-1,2022-09-25 00:54,304,566982000,singapore,AEPB
131.92580,43.07367,-1,2022-09-25 00:54,357,273350490,russia,russia
29.21120,40.87347,6.4 Knots,2022-04-08 19:00,207,631010034,greece,tunisia
48.66520,44.73415,6 Knots,2022-08-16 14:23,318.4,273440370,russia,SCHKM
103.97209,1.29899,-1,2022-09-25 00:55,312,564412000,singapore,singapore
103.79668,1.22373,5 Knots,2022-09-25 00:55,319.8,565894000,singapore,SINGAPORE
103.94753,1.29785,-1,2022-09-25 00:55,177,563057800,singapore,AEBB
103.99363,1.29478,5.4 Knots,2022-09-25 00:13,83.7,566200000,singapore,AEBB
23.61502,37.94483,0.1 Knots,2022-09-23 15:31,49,241616000,greece,greece
121.70426,25.27619,8.4 Knots,2022-09-22 00:26,336,416124900,taiwan,Unknown
134.15634,34.43474,12 Knots,2022-09-24 12:10,298.4,431401993,japan,&gt;JP NOB
117.10978,-1.26120,10.1 Knots,2022-09-24 15:51,69.3,525300135,Unknown,BERAU
26.92845,38.77237,-1,2022-09-24 20:15,---,271047206,turkey,turkey
134.26015,34.57995,11.4 Knots,2022-09-24 07:08,237,431300001,japan,&gt;JP SKD OFF
