lon,lat,speed,timestamp,course,mmsi,source_port,dest_port
23.61191,37.95692,-1,2022-09-23 07:10,---,239869900,greece,greece
8.44592,55.46351,0.1 Knots,2022-09-25 02:05,117,219022047,denmark,denmark
103.98519,1.30198,5.7 Knots,2022-09-24 23:05,91,563025390,singapore,Unknown
103.95037,1.30065,-1,2022-09-25 02:04,---,563025410,singapore,SINGAPORE
103.95237,1.30122,0.1 Knots,2022-09-25 02:05,---,563025420,singapore,CENTRAL STAR MARINE
4.23095,51.43700,-1,2022-09-25 02:03,---,244690993,belgium,netherlands
28.96027,41.02497,-1,2022-09-23 16:48,---,271043277,turkey,turkey
---,---,-1,,---,419956554,india,KANDLA
2.26610,48.83601,-1,2022-09-16 09:44,---,205206690,france,france
4.28456,51.36142,-1,2022-09-25 02:03,---,269057296,netherlands,belgium
29.83319,59.95497,8.1 Knots,2022-09-19 16:30,112.9,273344100,russia,russia
4.24805,51.87943,-1,2022-09-25 02:05,---,244670158,germany,netherlands
4.42718,51.88293,-1,2022-09-22 06:40,---,244670108,netherlands,netherlands
17.06732,48.14364,11.9 Knots,2022-09-15 06:56,96.9,279202573,romania,serbia
5.27263,51.70993,-1,2022-03-30 04:40,---,244740042,netherlands,netherlands
4.55417,51.82945,6.1 Knots,2022-09-25 02:05,134.1,253242373,netherlands,ROTTERDAM
7.72251,51.66918,4.8 Knots,2022-09-24 13:11,237.5,244670858,netherlands,WEIL AM RHEIN
29.60936,45.16051,8.3 Knots,2021-08-02 17:25,109,264162463,romania,romania
103.99403,1.15793,-1,2022-09-10 04:54,---,674677001,Unknown,indonesia
4.37081,51.24612,-1,2022-09-25 02:01,---,244660896,netherlands,belgium
4.37633,51.25561,-1,2022-09-25 02:03,---,205523890,netherlands,belgium
44.10369,56.30964,6.6 Knots,2021-10-04 14:56,163.7,273442960,russia,SIZRAN
8.44083,49.26293,4.1 Knots,2022-09-25 02:05,220.5,253242440,netherlands,germany
3.76794,51.15948,-1,2022-09-25 01:49,76,244660114,belgium,belgium
4.79141,52.41087,-1,2022-09-25 02:03,90,205419290,netherlands,netherlands
43.62129,56.49096,4.9 Knots,2021-10-27 09:04,328,273413700,russia,russia
4.25907,51.26170,-1,2022-09-25 02:03,---,244740787,netherlands,belgium
4.76484,51.17874,6.9 Knots,2022-09-24 03:13,95.7,244740566,belgium,BERINGEN
8.35188,49.99904,-1,2022-09-25 01:53,---,244690433,germany,germany
6.75206,51.44949,0.1 Knots,2022-09-24 13:02,222,211404140,germany,germany
36.55294,45.11290,-1,2021-06-30 18:14,255,273442640,russia,ROSTOV
6.72570,51.42842,-1,2022-09-24 20:28,---,244740035,belgium,germany
5.68727,50.79497,8.6 Knots,2022-09-24 18:11,341.2,205338490,belgium,belgium
19.85857,45.25050,6.7 Knots,2019-04-01 09:14,170.3,279202443,serbia,SZAZHALOMBATTA
4.35743,51.88767,-1,2022-09-25 02:04,---,244650754,netherlands,netherlands
25.96808,39.78795,7.2 Knots,2022-09-24 16:34,228,271044432,turkey,Unknown
4.14323,51.66311,-1,2022-09-25 02:05,---,244660571,netherlands,belgium
4.25802,51.86762,6.9 Knots,2022-09-25 02:05,297.2,244620890,germany,netherlands
-43.11648,-22.82004,-1,2021-06-23 14:28,---,710004920,brazil,Unknown
4.61288,51.69331,0.6 Knots,2022-09-21 13:58,---,244020543,netherlands,netherlands
